statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
광진문화예술회관,ME20A278,21,04,서울특별시 광진구 능동로 76,,,37.5375337,127.0705319,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260912222940,20260912000910,20260912003705,,,200,동시,11,11215,A0,A004,N,,N,,N,,N,2020,2,B,시그넷
광진문화예술회관,ME20A278,22,04,서울특별시 광진구 능동로 76,,,37.5375337,127.0705319,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,3,20260912223248,20260911233043,20260912001043,20260912220235,,200,동시,11,11215,A0,A004,N,,N,,N,,N,2020,2,B,시그넷
자양2동 유수지 주차장,ME21B168,01,04,서울특별시 광진구 뚝섬로52길 74-1,,,37.5299304,127.0770995,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260912223231,20260912134306,20260912142312,,,100,단독,11,11215,B0,B004,N,,N,,N,,N,2021,1,F,채비
보건복지행정타운(경기북부) 급속충전소,AM900009,01,04,서울특별시 광진구 능동로 400,,구내주차장,37.565011,127.0845968,24시간 이용가능,AM,아마노코리아,아마노코리아,1833-4577,2,20260912130631,20260911100938,20260911110913,,,100,동시,11,11215,A0,A003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,2,B,이카플러그
보건복지행정타운(경기북부) 급속충전소,AM900009,11,04,서울특별시 광진구 능동로 400,,구내주차장,37.565011,127.0845968,24시간 이용가능,AM,아마노코리아,아마노코리아,1833-4577,2,20260911221341,20260911090908,20260911100928,,,100,동시,11,11215,A0,A003,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2022,2,B,이카플러그
서울 광진구 화양동 트레비앙오피스텔,BNBN0385,01,04,서울특별시 광진구 광나루로 374,지하 주차장,,37.547588639,127.07120968,24시간 이용가능,BN,블루네트웍스,(주)블루네트웍스,1833-9131,2,20260912025618,20260909225551,20260909235635,,,50,동시,11,11215,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2024,1,B,블루네트웍스
서울 광진구 화양동 트레비앙오피스텔,BNBN0385,02,04,서울특별시 광진구 광나루로 374,지하 주차장,,37.547588639,127.07120968,24시간 이용가능,BN,블루네트웍스,(주)블루네트웍스,1833-9131,2,20260912025618,20260909225551,20260909235635,,,50,동시,11,11215,G0,G004,N,,N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2024,1,F,블루네트웍스
서울광진구 구의2동복합청사,BNBN0581,01,04,서울특별시 광진구 천호대로136길 55,,,37.547454,127.089969,24시간 이용가능,BN,블루네트웍스,(주)블루네트웍스,1833-9131,2,20260912080606,20260912070937,20260912080541,,,50,동시,11,11215,G0,G004,N,,N,시설 상황에 따란 이용이 제한될 수 있음,N,,N,2024,1,F,블루네트웍스
서울광진구 구의2동복합청사,BNBN0581,02,04,서울특별시 광진구 천호대로136길 55,,,37.547454,127.089969,24시간 이용가능,BN,블루네트웍스,(주)블루네트웍스,1833-9131,2,20260912121206,20260912070937,20260912080541,,,50,동시,11,11215,G0,G004,N,,N,시설 상황에 따란 이용이 제한될 수 있음,N,,N,2024,1,F,블루네트웍스
서울광진구 구의2동복합청사,BNBN0581,03,04,서울특별시 광진구 천호대로136길 55,,,37.547454,127.089969,24시간 이용가능,BN,블루네트웍스,(주)블루네트웍스,1833-9131,2,20260912133906,20260912122836,20260912133839,,,50,동시,11,11215,G0,G004,N,,N,시설 상황에 따란 이용이 제한될 수 있음,N,,N,2024,1,F,블루네트웍스
