statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
창천공영주차장,ME183004,01,06,"서울특별시 마포구 노고산동 33-1, B3 28",,,37.55493,126.9389738,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923135929,20260923131733,20260923133237,,,50,단독,11,11440,B0,B001,N,,N,,N,,N,2018,3,B,채비
스탠포드호텔코리아,ME183009,01,06,"서울특별시 마포구 상암동 월드컵북로 58길 15, 지하4층 18",,,37.5823581,126.886648,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923135947,20260919162141,20260919170751,,,50,단독,11,11440,E0,E003,Y,,N,,N,,N,2018,1,F,채비
마포중앙도서관,ME19A164,01,04,서울특별시 마포구 성산로 128,,,37.563642399999,126.908286399,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923140154,20260923130237,20260923134543,,,100,단독,11,11440,I0,I005,N,,N,,N,,N,2019,1,B,채비
상암1 공영주차장,ME19A245,21,04,서울특별시 마포구 성암로 197,,,37.577011200000,126.8973596,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260923140310,20260922063615,20260922065547,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,3,F,채비
상암1 공영주차장,ME19A245,22,04,서울특별시 마포구 성암로 197,,,37.577011200000,126.8973596,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260923140310,20260923123458,20260923130749,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,3,F,채비
Park M (주차복합빌딩),ME19A246,21,04,서울특별시 마포구 매봉산로 80,,,37.5783444,126.8941079,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923140213,20260923132857,20260923135200,,,200,동시,11,11440,B0,B004,N,,N,,N,,N,2019,2,B,채비
Park M (주차복합빌딩),ME19A246,22,04,서울특별시 마포구 매봉산로 80,,,37.5783444,126.8941079,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260923140310,20260923104719,20260923111808,,,200,동시,11,11440,B0,B004,N,,N,,N,,N,2019,2,B,채비
양화진 공영주차장,ME19A265,21,04,서울특별시 마포구 토정로 2,,,37.545502369555,126.911413488,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923140219,20260923112415,20260923114659,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,1,F,채비
양화진 공영주차장,ME19A265,22,04,서울특별시 마포구 토정로 2,,,37.545502369555,126.911413488,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260923140310,20260923063401,20260923071409,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,1,F,채비
망원동 공영주차장1,ME19A601,21,04,서울특별시 마포구 동교로1길 39,,,37.55503247,126.89778505,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,3,20260923140332,20260923112642,20260923120533,20260923133501,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2020,1,F,채비
망원동 공영주차장1,ME19A601,22,04,서울특별시 마포구 동교로1길 39,,,37.55503247,126.89778505,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923140210,20260923065359,20260923073145,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2020,1,F,채비
망원동 공영주차장1,ME19A601,23,04,서울특별시 마포구 동교로1길 39,,,37.55503247,126.89778505,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,3,20260923140329,20260922203027,20260922211033,20260923134510,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,1,F,채비
망원동 공영주차장1,ME19A601,24,04,서울특별시 마포구 동교로1길 39,,,37.55503247,126.89778505,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923140214,20260923132652,20260923134858,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,1,F,채비
망원동 공영주차장1,ME19A601,25,04,서울특별시 마포구 동교로1길 39,,,37.55503247,126.89778505,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260923140310,20260922132926,20260922135354,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,1,F,채비
망원동 공영주차장1,ME19A601,26,04,서울특별시 마포구 동교로1길 39,,,37.55503247,126.89778505,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260923140310,20260922185509,20260922193618,,,200,동시,11,11440,B0,B001,N,,N,,N,,N,2019,1,F,채비
마포구청,ME20A409,21,04,서울특별시 마포구 월드컵로 212,,,37.567121,126.9017038,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,3,20260923140119,20260922210011,20260922214011,20260923135115,,200,동시,11,11440,A0,A001,N,,N,,N,,N,2020,1,F,시그넷
마포구청,ME20A409,22,04,서울특별시 마포구 월드컵로 212,,,37.567121,126.9017038,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923140208,20260923093109,20260923101109,,,200,동시,11,11440,A0,A001,N,,N,,N,,N,2020,1,F,시그넷
마포구청,ME20A409,23,04,서울특별시 마포구 월드컵로 212,,,37.567121,126.9017038,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260920232810,20260920175252,20260920183252,,,200,동시,11,11440,A0,A001,N,,N,,N,,N,2020,1,F,시그넷
마포구청,ME20A409,24,04,서울특별시 마포구 월드컵로 212,,,37.567121,126.9017038,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,9,20260920232810,20260920183006,20260920191006,,,200,동시,11,11440,A0,A001,N,,N,,N,,N,2020,1,F,시그넷
서울마포경찰서,ME21B180,01,04,서울특별시 마포구 마포대로 183,,,37.5507749,126.9545677,09:00 ~ 18:00,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923134958,20260923105236,20260923113109,,,100,단독,11,11440,I0,I004,Y,,N,,N,,N,2021,1,F,채비
마포소금나루도서관,ME21B412,01,04,서울특별시 마포구 염리동 61-4,,,37.5495525,126.9460746,24시간 이용가능,ME,기후에너지환경부,기후에너지환경부,1661-9408,2,20260923140230,20260918063958,20260918065345,,,100,단독,11,11440,I0,I005,N,,N,,N,,N,2021,1,F,채비
